datum,infekt_sum,infekt_ink,genesen,verstorben,holy_inzidenz,dt_iso
20.07.2020,283.0,,235.0,5,,2020-07-20
17.07.2020,278.0,,230.0,5,,2020-07-17
16.07.2020,276.0,,216.0,5,,2020-07-16
15.07.2020,275.0,,209.0,4,,2020-07-15
14.07.2020,274.0,,206.0,4,,2020-07-14
13.07.2020,274.0,,200.0,4,,2020-07-13
10.07.2020,269.0,,188.0,4,,2020-07-10
09.07.2020,269.0,,179.0,4,,2020-07-09
08.07.2020,266.0,,165.0,4,,2020-07-08
07.07.2020,262.0,,156.0,4,,2020-07-07
06.07.2020,261.0,,145.0,4,,2020-07-06
03.07.2020,246.0,,143.0,4,,2020-07-03
02.07.2020,241.0,,135.0,4,,2020-07-02
01.07.2020,239.0,,135.0,4,,2020-07-01
30.06.2020,238.0,,122.0,4,,2020-06-30
29.06.2020,236.0,,122.0,4,,2020-06-29
26.06.2020,205.0,,122.0,4,,2020-06-26
25.06.2020,161.0,,122.0,4,,2020-06-25
24.06.2020,158.0,,120.0,4,,2020-06-24
23.06.2020,146.0,,120.0,4,,2020-06-23
22.06.2020,144.0,,120.0,4,,2020-06-22
19.06.2020,139.0,,120.0,4,,2020-06-19
18.06.2020,139.0,,111.0,4,,2020-06-18
17.06.2020,139.0,,111.0,4,,2020-06-17
16.06.2020,139.0,,108.0,4,,2020-06-16
15.06.2020,139.0,,108.0,4,,2020-06-15
12.06.2020,137.0,,107.0,4,,2020-06-12
10.06.2020,136.0,,105.0,4,,2020-06-10
09.06.2020,133.0,,105.0,4,,2020-06-09
08.06.2020,129.0,,102.0,4,,2020-06-08
05.06.2020,121.0,,102.0,4,,2020-06-05
04.06.2020,119.0,,102.0,4,,2020-06-04
03.06.2020,119.0,,101.0,4,,2020-06-03
02.06.2020,118.0,,100.0,4,,2020-06-02
29.05.2020,116.0,,100.0,4,,2020-05-29
28.05.2020,114.0,,96.0,4,,2020-05-28
27.05.2020,114.0,,89.0,4,,2020-05-27
26.05.2020,114.0,,89.0,4,,2020-05-26
25.05.2020,114.0,,83.0,4,,2020-05-25
22.05.2020,110.0,,83.0,4,,2020-05-22
20.05.2020,109.0,,83.0,4,,2020-05-20
19.05.2020,107.0,,81.0,4,,2020-05-19
18.05.2020,107.0,,81.0,4,,2020-05-18
15.05.2020,106.0,,81.0,4,,2020-05-15
14.05.2020,105.0,,80.0,4,,2020-05-14
13.05.2020,103.0,,79.0,4,,2020-05-13
12.05.2020,103.0,,79.0,4,,2020-05-12
11.05.2020,102.0,,79.0,4,,2020-05-11
08.05.2020,97.0,,73.0,4,,2020-05-08
07.05.2020,95.0,,73.0,4,,2020-05-07
06.05.2020,95.0,,70.0,4,,2020-05-06
05.05.2020,95.0,,70.0,4,,2020-05-05
04.05.2020,95.0,,68.0,4,,2020-05-04
02.05.2020,95.0,,68.0,4,,2020-05-02
30.04.2020,93.0,,64.0,3,,2020-04-30
29.04.2020,91.0,,63.0,3,,2020-04-29
28.04.2020,90.0,,63.0,3,,2020-04-28
27.04.2020,89.0,,63.0,3,,2020-04-27
24.04.2020,88.0,,62.0,3,,2020-04-24
23.04.2020,87.0,,61.0,3,,2020-04-23
22.04.2020,85.0,,59.0,3,,2020-04-22
21.04.2020,85.0,,57.0,3,,2020-04-21
20.04.2020,82.0,,56.0,3,,2020-04-20
17.04.2020,77.0,,48.0,3,,2020-04-17
16.04.2020,74.0,,47.0,3,,2020-04-16
15.04.2020,72.0,,47.0,2,,2020-04-15
14.04.2020,69.0,,44.0,2,,2020-04-14
13.04.2020,69.0,,44.0,2,,2020-04-13
09.04.2020,62.0,,40.0,1,,2020-04-09
08.04.2020,57.0,,38.0,0,,2020-04-08
07.04.2020,56.0,,33.0,0,,2020-04-07
06.04.2020,54.0,,31.0,0,,2020-04-06
03.04.2020,47.0,,27.0,0,,2020-04-03
02.04.2020,45.0,,26.0,0,,2020-04-02
01.04.2020,45.0,,26.0,0,,2020-04-01
31.03.2020,43.0,,21.0,0,,2020-03-31
30.03.2020,43.0,,0.0,0,,2020-03-30
27.03.2020,36.0,,0.0,0,,2020-03-27
26.03.2020,35.0,,0.0,0,,2020-03-26
25.03.2020,29.0,,0.0,0,,2020-03-25
24.03.2020,29.0,,0.0,0,,2020-03-24
23.03.2020,28.0,,0.0,0,,2020-03-23
20.03.2020,26.0,,0.0,0,,2020-03-20
19.03.2020,24.0,,0.0,0,,2020-03-19
13.03.2020,10.0,,0.0,0,,2020-03-13
12.03.2020,4.0,,0.0,0,,2020-03-12
11.03.2020,3.0,,0.0,0,,2020-03-11
10.03.2020,2.0,,0.0,0,,2020-03-10
