2022-02-01,Summe,Intensivbett,2259
2022-02-01,Summe,Intensivbett,12663
2022-02-02,Summe,Intensivbett,2311
2022-02-02,Summe,Intensivbett,13008
2022-02-03,Summe,Intensivbett,2262
2022-02-03,Summe,Intensivbett,13270
2022-02-04,Summe,Intensivbett,2306
2022-02-04,Summe,Intensivbett,13643
2022-02-07,Summe,Intensivbett,2374
2022-02-07,Summe,Intensivbett,14742
2022-02-08,Summe,Intensivbett,2390
2022-02-08,Summe,Intensivbett,15558
2022-02-09,Summe,Intensivbett,2398
2022-02-09,Summe,Intensivbett,15759
2022-02-10,Summe,Intensivbett,2395
2022-02-10,Summe,Intensivbett,15926
2022-02-11,Summe,Intensivbett,2379
2022-02-11,Summe,Intensivbett,16115
2022-02-14,Summe,Intensivbett,2421
2022-02-14,Summe,Intensivbett,16522
2022-02-15,Summe,Intensivbett,2498
2022-02-15,Summe,Intensivbett,16971
2022-02-16,Summe,Intensivbett,2450
2022-02-16,Summe,Intensivbett,17155
2022-02-17,Summe,Intensivbett,2472
2022-02-17,Summe,Intensivbett,16957
2022-02-18,Summe,Intensivbett,2435
2022-02-18,Summe,Intensivbett,16959
2022-02-21,Summe,Intensivbett,2389
2022-02-21,Summe,Intensivbett,17289
2022-02-22,Summe,Intensivbett,2402
2022-02-22,Summe,Intensivbett,17607
2022-02-23,Summe,Intensivbett,2401
2022-02-23,Summe,Intensivbett,17495
2022-02-24,Summe,Intensivbett,2310
2022-02-24,Summe,Intensivbett,17284
2022-02-25,Summe,Intensivbett,2305
2022-02-25,Summe,Intensivbett,17044
2022-02-28,Summe,Intensivbett,2287
2022-02-28,Summe,Intensivbett,17145
2022-03-01,Summe,Intensivbett,2302
2022-03-01,Summe,Intensivbett,17447
2022-03-02,Summe,Intensivbett,2204
2022-03-02,Summe,Intensivbett,17346
2022-03-03,Summe,Intensivbett,2142
2022-03-03,Summe,Intensivbett,17013
2022-03-04,Summe,Intensivbett,2096
2022-03-04,Summe,Intensivbett,17035
2022-03-07,Summe,Intensivbett,2137
2022-03-07,Summe,Intensivbett,17724
2022-03-08,Summe,Intensivbett,2149
2022-03-08,Summe,Intensivbett,18246
2022-03-09,Summe,Intensivbett,2129
2022-03-09,Summe,Intensivbett,18593
2022-03-10,Summe,Intensivbett,2107
2022-03-10,Summe,Intensivbett,18688
2022-03-11,Summe,Intensivbett,2112
2022-03-11,Summe,Intensivbett,18909
2022-03-14,Summe,Intensivbett,2260
