statistics_code,jahr,1_variable_code,2_variable_code,ICD-2,anzahl
23131,2022,DINSG,ICD10B,ICD10-D10-D36,212492
23131,2018,DINSG,ICD10B,ICD10-E00-E07,77813
23131,2022,DINSG,ICD10B,ICD10-L20-L30,26598
23131,2021,DINSG,ICD10B,ICD10-Z80-Z99,7655
23131,2016,DINSG,ICD10B,ICD10-C30-C39,216458
23131,2022,DINSG,ICD10B,ICD10-J09-J18,356227
23131,2020,DINSG,ICD10B,ICD10-M05-M14,44420
23131,2023,DINSG,ICD10B,ICD10-A65-A69,5476
23131,2020,DINSG,ICD10B,ICD10-K50-K52,77251
23131,2021,DINSG,ICD10B,ICD10-J85-J86,11558
23131,2019,DINSG,ICD10B,ICD10-N99-N99,9812
23131,2018,DINSG,ICD10B,ICD10-H30-H36,74900
23131,2014,DINSG,ICD10B,ICD10-H65-H75,39671
23131,2020,DINSG,ICD10B,ICD10-I80-I89,106287
23131,2018,DINSG,ICD10B,ICD10-J85-J86,12229
23131,2015,DINSG,ICD10B,ICD10-S50-S59,144707
23131,2016,DINSG,ICD10B,ICD10-F20-F29,134232
23131,2020,DINSG,ICD10B,ICD10-U55-U55,-
23131,2017,DINSG,ICD10B,ICD10-D00-D09,30525
23131,2020,DINSG,ICD10B,ICD10-F50-F59,13236
23131,2021,DINSG,ICD10B,ICD10-C51-C58,69741
23131,2015,DINSG,ICD10B,ICD10-P80-P83,3764
23131,2015,DINSG,ICD10B,ICD10-C15-C26,321161
23131,2017,DINSG,ICD10B,ICD10-I00-I02,514
23131,2022,DINSG,ICD10B,ICD10-P70-P74,9129
23131,2022,DINSG,ICD10B,ICD10-P05-P08,79105
23131,2015,DINSG,ICD10B,ICD10-T51-T65,21001
23131,2020,DINSG,ICD10B,ICD10-O00-O08,41171
23131,2019,DINSG,ICD10B,ICD10-C40-C41,8391
23131,2016,DINSG,ICD10B,ICD10-T08-T14,3222
23131,2015,DINSG,ICD10B,ICD10-M50-M54,429223
23131,2016,DINSG,ICD10B,ICD10-Z70-Z76,2829
23131,2022,DINSG,ICD10B,ICD10-G50-G59,41026
23131,2014,DINSG,ICD10B,ICD10-K35-K38,114866
23131,2015,DINSG,ICD10B,ICD10-P20-P29,34238
23131,2015,DINSG,ICD10B,ICD10-O85-O92,13409
23131,2020,DINSG,ICD10B,ICD10-E65-E68,28092
23131,2014,DINSG,ICD10B,ICD10-T90-T98,14
23131,2015,DINSG,ICD10B,ICD10-S00-S09,403808
23131,2021,DINSG,ICD10B,ICD10-I26-I28,70547
23131,2021,DINSG,ICD10B,ICD10-R90-R94,13628
23131,2015,DINSG,ICD10B,ICD10-L80-L99,45207
23131,2014,DINSG,ICD10B,ICD10-H55-H59,2134
23131,2018,DINSG,ICD10B,ICD10-M00-M03,14548
23131,2017,DINSG,ICD10B,ICD10-N10-N16,182036
23131,2021,DINSG,ICD10B,ICD10-B25-B34,31095
23131,2021,DINSG,ICD10B,ICD10-L55-L59,2744
23131,2022,DINSG,ICD10B,ICD10-J30-J39,183787
23131,2015,DINSG,ICD10B,ICD10-U80-U85,-
23131,2018,DINSG,ICD10B,ICD10-T51-T65,19440
23131,2016,DINSG,ICD10B,ICD10-G00-G09,16792
23131,2019,DINSG,ICD10B,ICD10-J09-J18,347169
23131,2015,DINSG,ICD10B,ICD10-J95-J99,50971
23131,2018,DINSG,ICD10B,ICD10-S60-S69,59461
23131,2015,DINSG,ICD10B,ICD10-R25-R29,46362
23131,2017,DINSG,ICD10B,ICD10-T90-T98,24
23131,2020,DINSG,ICD10B,ICD10-B85-B89,7788
23131,2021,DINSG,ICD10B,ICD10-H10-H13,3642
23131,2015,DINSG,ICD10B,ICD10-B90-B94,2
23131,2018,DINSG,ICD10B,UNBEKANNT,905
23131,2015,DINSG,ICD10B,ICD10-M00-M03,13522
23131,2022,DINSG,ICD10B,ICD10-U50-U52,198
23131,2022,DINSG,ICD10B,ICD10-C40-C41,7743
23131,2023,DINSG,ICD10B,ICD10-F50-F59,14698
23131,2023,DINSG,ICD10B,ICD10-K80-K87,351082
23131,2019,DINSG,ICD10B,ICD10-T33-T35,169
23131,2021,DINSG,ICD10B,ICD10-K65-K67,19745
23131,2019,DINSG,ICD10B,ICD10-E50-E64,3295
23131,2023,DINSG,ICD10B,ICD10-D55-D59,6074
23131,2017,DINSG,ICD10B,ICD10-E15-E16,2967
23131,2017,DINSG,ICD10B,ICD10-M80-M85,63701
23131,2022,DINSG,ICD10B,ICD10-S90-S99,29326
23131,2016,DINSG,ICD10B,ICD10-R20-R23,32306
23131,2016,DINSG,ICD10B,ICD10-L20-L30,40345
23131,2021,DINSG,ICD10B,ICD10-E40-E46,1397
23131,2017,DINSG,ICD10B,ICD10-O00-O08,46132
23131,2021,DINSG,ICD10B,ICD10-P50-P61,20914
23131,2022,DINSG,ICD10B,ICD10-B15-B19,2883
