isodat,Infektionen,Zuwachs,Genesen,Verstorben
2021-09-01,1959,80,1836,40
2021-08-31,1951,10,1831,40
2021-08-30,195,230,1827,40
2021-08-27,1927,100,1813,40
2021-08-26,1917,110,1812,40
2021-08-25,1906,50,1808,40
2021-08-24,1901,00,1802,40
2021-08-23,1901,130,1799,40
2021-08-20,1888,90,1798,40
2021-08-19,1879,50,1797,40
2021-08-18,1874,70,1796,40
2021-08-17,1867,20,1795,40
2021-08-16,1865,130,1795,40
2021-08-13,1852,20,1793,40
2021-08-12,185,40,1792,40
2021-08-11,1846,70,1792,40
2021-08-10,1839,00,1788,40
2021-08-09,1839,10,1788,40
2021-08-06,1838,10,1784,40
2021-08-05,1837,40,1779,40
2021-08-04,1833,00,1775,40
2021-08-03,1833,00,1775,40
2021-08-02,1833,20,1774,40
2021-07-30,1831,20,1769,40
2021-07-29,1829,00,1767,40
2021-07-28,1829,50,1767,40
2021-07-27,1824,00,1767,40
2021-07-26,1824,50,1766,40
2021-07-23,1819,30,1765,40
2021-07-22,1816,00,1763,40
2021-07-21,1816,30,1763,40
2021-07-20,1813,00,176,40
2021-07-19,1813,40,176,40
2021-07-16,1809,20,1759,40
2021-07-15,1807,00,1759,40
2021-07-14,1807,00,1759,40
2021-07-13,1807,10,1758,40
2021-07-12,1806,30,1758,40
2021-07-09,1803,00,1758,40
2021-07-08,1803,10,1758,40
2021-07-07,1802,20,1758,40
2021-07-06,18,00,1758,40
2021-07-05,18,10,1758,40
2021-07-02,1799,00,1758,40
2021-07-01,1799,00,1758,40
2021-06-30,1799,10,1758,40
2021-06-29,1798,00,1758,40
2021-06-28,1798,00,1758,40
2021-06-25,1798,00,1757,40
2021-06-24,1798,00,1757,40
2021-06-23,1798,00,1756,40
2021-06-22,1798,00,1754,40
2021-06-21,1798,00,1755,39
2021-06-18,1798,10,1748,39
2021-06-17,1797,00,1747,39
2021-06-16,1797,00,1744,39
2021-06-15,1797,00,1742,39
2021-06-14,1797,10,1742,39
2021-06-11,1796,-10,1741,39
2021-06-10,1797,20,1741,39
2021-06-09,1795,40,174,39
2021-06-08,1791,00,1738,39
2021-06-07,1791,40,1738,39
2021-06-04,1787,20,1734,39
2021-06-03,1785,20,1734,39
2021-06-02,1783,10,1732,39
2021-06-01,1782,00,1724,39
2021-05-31,1782,20,1723,39
2021-05-28,178,00,172,39
2021-05-27,178,40,1719,39
2021-05-26,1776,00,1709,39
2021-05-25,1776,00,1706,38
2021-05-24,1776,40,17,38
2021-05-21,1772,00,1694,38
2021-05-20,1772,20,1689,38
2021-05-19,177,80,1684,37
2021-05-18,1762,00,1672,37
2021-05-17,1762,10,167,37
2021-05-14,1761,90,1655,37
2021-05-13,1752,50,1642,37
2021-05-12,1747,70,1629,37
2021-05-11,174,10,1607,37
2021-05-10,1739,90,1603,37
2021-05-07,173,20,158,37
2021-05-06,1728,140,157,36
2021-05-05,1714,90,1556,36
2021-05-04,1705,00,1527,36
2021-05-03,1705,160,1525,36
2021-04-30,1689,140,1505,36
2021-04-29,1675,160,1496,36
2021-04-28,1659,160,1488,35
2021-04-27,1643,30,1473,35
2021-04-26,164,280,1469,35
2021-04-23,1612,170,1444,35
2021-04-22,1595,140,1423,35
2021-04-21,1581,210,1402,35
2021-04-20,156,00,139,34
2021-04-19,156,250,1388,34
2021-04-16,1535,90,1376,34
2021-04-15,1526,140,1368,34
2021-04-14,1512,130,1355,34
2021-04-13,1499,20,1342,34
2021-04-12,1497,340,1339,34
2021-04-09,1463,220,1317,34
2021-04-08,1441,140,1311,34
2021-04-07,1427,50,1292,34
2021-04-06,1422,10,1268,34
2021-04-05,1421,170,1264,34
2021-04-02,1404,80,1251,34
2021-04-01,1396,130,1248,34
2021-03-31,1383,90,124,34
2021-03-30,1374,10,1234,34
2021-03-29,1373,220,1234,34
2021-03-26,1351,120,122,34
2021-03-25,1339,150,1216,34
2021-03-24,1324,240,1208,34
2021-03-23,13,10,1202,33
2021-03-22,1299,130,1199,33
2021-03-19,1286,40,1187,33
2021-03-18,1282,70,1185,33
2021-03-17,1275,60,118,33
2021-03-16,1269,00,1174,33
2021-03-15,1269,170,1173,33
2021-03-12,1252,60,1169,33
2021-03-11,1246,60,1164,33
2021-03-10,124,70,1163,33
2021-03-09,1233,60,1158,33
2021-03-08,1227,100,1156,33
2021-03-05,1217,30,1147,33
2021-03-04,1214,80,1142,33
2021-03-03,1206,00,1136,32
2021-03-02,1206,00,113,32
2021-03-01,1206,60,1128,32
2021-02-26,12,30,1116,32
2021-02-25,1197,40,1111,32
2021-02-24,1193,30,1104,32
2021-02-23,119,00,1103,32
2021-02-22,119,130,11,32
2021-02-19,1177,30,1086,32
2021-02-18,1174,80,1085,32
2021-02-17,1166,60,1081,31
2021-02-16,116,20,1069,31
2021-02-15,1158,140,1066,31
2021-02-12,1144,40,1057,30
2021-02-11,114,20,1054,30
2021-02-10,1138,30,1051,30
2021-02-09,1135,10,1041,30
2021-02-08,1134,130,1038,30
2021-02-05,1121,20,1028,30
2021-02-04,1119,90,1025,30
2021-02-03,111,100,1022,29
2021-02-02,11,00,1019,29
2021-02-01,11,130,1015,29
2021-01-29,1087,50,1006,26
2021-01-28,1082,30,1004,25
2021-01-27,1079,80,9940,25
2021-01-26,1071,20,9690,25
2021-01-25,1069,110,9640,25
2021-01-22,1058,30,9500,24
2021-01-21,1055,60,9390,24
2021-01-20,1049,50,9280,24
2021-01-19,1044,10,9000,23
2021-01-18,1043,140,8920,22
2021-01-15,1029,50,8870,19
2021-01-14,1024,130,8770,19
2021-01-13,1011,210,8570,18
2021-01-12,9900,10,8380,18
2021-01-11,9890,230,8360,17
2021-01-08,9660,90,8130,16
2021-01-07,9570,220,8130,14
2021-01-06,9350,180,7850,14
2021-01-05,9170,90,7630,13
2021-01-04,9080,90,7520,12
2021-01-01,8990,380,7160,12
2020-12-30,8610,190,6170,12
2020-12-29,8420,10,6110,12
2020-12-28,8410,50,6080,12
2020-12-27,8360,410,6030,12
2020-12-23,7950,270,5490,11
2020-12-22,7680,80,5260,11
2020-12-21,7600,370,5150,11
2020-12-18,7230,140,4800,11
2020-12-17,7090,310,4660,11
2020-12-16,6780,40,4530,11
2020-12-15,6740,80,4400,9
2020-12-14,6660,370,4320,9
2020-12-11,6290,130,4290,9
2020-12-10,6160,230,4190,9
2020-12-09,5930,160,4140,9
2020-12-08,5770,150,4140,9
2020-12-07,5620,380,4100,9
2020-12-04,5240,200,4050,9
2020-12-03,5040,150,4050,9
2020-12-02,4890,150,4000,9
2020-12-01,4740,80,3950,9
2020-11-30,4660,270,3890,9
2020-11-27,4390,80,3840,9
2020-11-26,4310,80,3790,9
2020-11-25,4230,40,3720,9
2020-11-24,4190,140,3680,9
2020-11-23,4050,220,3510,9
2020-11-20,3830,150,2080,9
2020-11-19,3680,60,1960,9
2020-11-18,3620,90,1900,9
2020-11-17,3530,90,1830,9
2020-11-16,3440,170,1770,8
2020-11-13,3270,130,1740,8
2020-11-12,3140,100,1650,8
2020-11-11,3040,90,1580,7
2020-11-10,2950,120,1550,7
2020-11-09,2830,40,1530,7
2020-11-06,2790,80,1520,7
2020-11-05,2710,110,1520,7
2020-11-04,2600,80,1520,7
2020-11-03,2520,130,1390,7
2020-11-02,2390,100,1390,7
2020-10-30,2290,70,1390,7
2020-10-29,2220,50,1390,7
2020-10-28,2170,50,1390,7
2020-10-27,2120,80,1390,7
2020-10-26,2040,80,1350,7
2020-10-23,1960,,1330,7
2020-10-22,1910,,1330,7
2020-10-21,1830,,1330,7
2020-10-20,1740,,1310,7
