datum;infekt_sum;infekt_ink;genesen;verstorben;;holy_inzidenz
15.08.2020;;;;;;
14.08.2020;346;;287;5;;
13.08.2020;343;;282;5;;
12.08.2020;341;;282;5;;
11.08.2020;333;;282;5;;
10.08.2020;331;;279;5;;
09.08.2020;;;;;;
08.08.2020;;;;;;
07.08.2020;319;;272;5;;
06.08.2020;315;;271;5;;
05.08.2020;311;;271;5;;
04.08.2020;310;;271;5;;
03.08.2020;308;;271;5;;
02.08.2020;;;;;;
01.08.2020;;;;;;
31.07.2020;301;;270;5;;
30.07.2020;293;;270;5;;
29.07.2020;289;;270;5;;
28.07.2020;289;;269;5;;
27.07.2020;289;;265;5;;
26.07.2020;;;;;;
25.07.2020;;;;;;
24.07.2020;286;;261;5;;
23.07.2020;284;;253;5;;
22.07.2020;283;;252;5;;
21.07.2020;283;;242;5;;
20.07.2020;283;;235;5;;
19.07.2020;;;;;;
18.07.2020;;;;;;
17.07.2020;278;;230;5;;
16.07.2020;276;;216;5;;
15.07.2020;275;;209;4;;
14.07.2020;274;;206;4;;
13.07.2020;274;;200;4;;
12.07.2020;;;;;;
11.07.2020;;;;;;
10.07.2020;269;;188;4;;
09.07.2020;269;;179;4;;
08.07.2020;266;;165;4;;
07.07.2020;262;;156;4;;
06.07.2020;261;;145;4;;
05.07.2020;;;;;;
04.07.2020;;;;;;
03.07.2020;246;;143;4;;
02.07.2020;241;;135;4;;
01.07.2020;239;;135;4;;
30.06.2020;238;;122;4;;
29.06.2020;236;;122;4;;
28.06.2020;;;;;;
27.06.2020;;;;;;
26.06.2020;205;;122;4;;
25.06.2020;161;;122;4;;
24.06.2020;158;;120;4;;
23.06.2020;146;;120;4;;
22.06.2020;144;;120;4;;
21.06.2020;;;;;;
20.06.2020;;;;;;
19.06.2020;139;;120;4;;
18.06.2020;139;;111;4;;
17.06.2020;139;;111;4;;
16.06.2020;139;;108;4;;
15.06.2020;139;;108;4;;
14.06.2020;;;;;;
13.06.2020;;;;;;
12.06.2020;137;;107;4;;
11.06.2020;;;;;;
10.06.2020;136;;105;4;;
09.06.2020;133;;105;4;;
08.06.2020;129;;102;4;;
07.06.2020;;;;;;
06.06.2020;;;;;;
05.06.2020;121;;102;4;;
04.06.2020;119;;102;4;;
03.06.2020;119;;101;4;;
02.06.2020;118;;100;4;;
01.06.2020;;;;;;
31.05.2020;;;;;;
30.05.2020;;;;;;
29.05.2020;116;;100;4;;
28.05.2020;114;;96;4;;
27.05.2020;114;;89;4;;
26.05.2020;114;;89;4;;
25.05.2020;114;;83;4;;
24.05.2020;;;;;;
23.05.2020;;;;;;
22.05.2020;110;;83;4;;
21.05.2020;;;;;;
20.05.2020;109;;83;4;;
19.05.2020;107;;81;4;;
18.05.2020;107;;81;4;;
17.05.2020;;;;;;
16.05.2020;;;;;;
15.05.2020;106;;81;4;;
14.05.2020;105;;80;4;;
13.05.2020;103;;79;4;;
12.05.2020;103;;79;4;;
11.05.2020;102;;79;4;;
10.05.2020;;;;;;
09.05.2020;;;;;;
08.05.2020;97;;73;4;;
07.05.2020;95;;73;4;;
06.05.2020;95;;70;4;;
05.05.2020;95;;70;4;;
04.05.2020;95;;68;4;;
03.05.2020;;;;;;
02.05.2020;95;;68;4;;
01.05.2020;;;;;;
30.04.2020;93;;64;3;;
29.04.2020;91;;63;3;;
28.04.2020;90;;63;3;;
27.04.2020;89;;63;3;;
26.04.2020;;;;;;
25.04.2020;;;;;;
24.04.2020;88;;62;3;;
23.04.2020;87;;61;3;;
22.04.2020;85;;59;3;;
21.04.2020;85;;57;3;;
20.04.2020;82;;56;3;;
19.04.2020;;;;;;
18.04.2020;;;;;;
17.04.2020;77;;48;3;;
16.04.2020;74;;47;3;;
15.04.2020;72;;47;2;;
14.04.2020;69;;44;2;;
13.04.2020;69;;44;2;;
12.04.2020;;;;;;
11.04.2020;;;;;;
10.04.2020;;;;;;
09.04.2020;62;;40;1;;
08.04.2020;57;;38;0;;
07.04.2020;56;;33;0;;
06.04.2020;54;;31;0;;
05.04.2020;;;;;;
04.04.2020;;;;;;
03.04.2020;47;;27;0;;
02.04.2020;45;;26;0;;
01.04.2020;45;;26;0;;
31.03.2020;43;;21;0;;
30.03.2020;43;;0;0;;
29.03.2020;;;;;;
28.03.2020;;;;;;
27.03.2020;36;;0;0;;
26.03.2020;35;;0;0;;
25.03.2020;29;;0;0;;
24.03.2020;29;;0;0;;
23.03.2020;28;;0;0;;
22.03.2020;;;;;;
21.03.2020;;;;;;
20.03.2020;26;;0;0;;
19.03.2020;24;;0;0;;
18.03.2020;;;;;;
17.03.2020;;;;;;
16.03.2020;;;;;;
15.03.2020;;;;;;
14.03.2020;;;;;;
13.03.2020;10;;0;0;;
12.03.2020;4;;0;0;;
11.03.2020;3;;0;0;;
10.03.2020;2;;0;0;;
